id,tipo,precio_usd,m2_cubiertos,m2_totales,ambientes,dormitorios,banos,anio_construccion,piso,direccion,barrio,ciudad,orientacion,disposicion,balcon,cochera,expensas_usd,apto_credito,estado,content
12,Departamento,343328,151,157,4,2,3,1991,21,Calle 1570,Almagro,Buenos Aires,Oeste,Lateral,False,False,379,False,Muy Bueno,"Departamento de 4 ambientes, 2 dormitorios y 3 baños. Ubicado en Almagro, Buenos Aires. Cuenta con balcón: False, cochera: False. Estado: Muy Bueno. Precio: USD 343328."
13,Departamento,426303,80,110,6,4,3,2002,19,Calle 731,Puerto Madero,Buenos Aires,Noreste,Frente,True,False,97,False,Bueno,"Departamento de 6 ambientes, 4 dormitorios y 3 baños. Ubicado en Puerto Madero, Buenos Aires. Cuenta con balcón: True, cochera: False. Estado: Bueno. Precio: USD 426303."
14,Departamento,237955,142,170,6,4,1,2011,23,Calle 5671,Belgrano,Buenos Aires,Sur,Frente,True,True,314,True,Muy Bueno,"Departamento de 6 ambientes, 4 dormitorios y 1 baños. Ubicado en Belgrano, Buenos Aires. Cuenta con balcón: True, cochera: True. Estado: Muy Bueno. Precio: USD 237955."
15,Departamento,130490,165,184,2,1,3,2024,30,Calle 2681,Palermo,Buenos Aires,Norte,Contrafrente,True,False,230,False,Bueno,"Departamento de 2 ambientes, 1 dormitorios y 3 baños. Ubicado en Palermo, Buenos Aires. Cuenta con balcón: True, cochera: False. Estado: Bueno. Precio: USD 130490."
16,Departamento,166217,169,181,5,4,1,1993,23,Calle 4513,Palermo,Buenos Aires,Sudeste,Lateral,False,True,124,False,Bueno,"Departamento de 5 ambientes, 4 dormitorios y 1 baños. Ubicado en Palermo, Buenos Aires. Cuenta con balcón: False, cochera: True. Estado: Bueno. Precio: USD 166217."
17,Departamento,148718,91,98,2,1,3,2021,22,Calle 5001,Caballito,Buenos Aires,Sudoeste,Contrafrente,False,False,214,False,Excelente,"Departamento de 2 ambientes, 1 dormitorios y 3 baños. Ubicado en Caballito, Buenos Aires. Cuenta con balcón: False, cochera: False. Estado: Excelente. Precio: USD 148718."
18,Departamento,332802,101,118,3,1,3,2023,26,Calle 8710,Belgrano,Buenos Aires,Este,Lateral,True,False,112,True,Muy Bueno,"Departamento de 3 ambientes, 1 dormitorios y 3 baños. Ubicado en Belgrano, Buenos Aires. Cuenta con balcón: True, cochera: False. Estado: Muy Bueno. Precio: USD 332802."
19,Departamento,391559,37,38,3,1,1,1991,10,Calle 6949,Almagro,Buenos Aires,Noroeste,Lateral,False,True,67,True,Excelente,"Departamento de 3 ambientes, 1 dormitorios y 1 baños. Ubicado en Almagro, Buenos Aires. Cuenta con balcón: False, cochera: True. Estado: Excelente. Precio: USD 391559."
20,Departamento,279297,115,121,3,2,1,2004,8,Calle 9419,Belgrano,Buenos Aires,Sur,Contrafrente,False,False,133,True,Muy Bueno,"Departamento de 3 ambientes, 2 dormitorios y 1 baños. Ubicado en Belgrano, Buenos Aires. Cuenta con balcón: False, cochera: False. Estado: Muy Bueno. Precio: USD 279297."
21,Departamento,150215,155,169,3,1,2,2023,27,Calle 715,Villa Urquiza,Buenos Aires,Sudoeste,Frente,True,True,300,False,Muy Bueno,"Departamento de 3 ambientes, 1 dormitorios y 2 baños. Ubicado en Villa Urquiza, Buenos Aires. Cuenta con balcón: True, cochera: True. Estado: Muy Bueno. Precio: USD 150215."
22,Departamento,302100,133,154,2,1,1,1994,2,Calle 3700,Caballito,Buenos Aires,Este,Lateral,True,True,366,True,Bueno,"Departamento de 2 ambientes, 1 dormitorios y 1 baños. Ubicado en Caballito, Buenos Aires. Cuenta con balcón: True, cochera: True. Estado: Bueno. Precio: USD 302100."
23,Departamento,425109,150,178,4,2,1,2023,11,Calle 1679,Puerto Madero,Buenos Aires,Oeste,Lateral,False,True,110,True,Bueno,"Departamento de 4 ambientes, 2 dormitorios y 1 baños. Ubicado en Puerto Madero, Buenos Aires. Cuenta con balcón: False, cochera: True. Estado: Bueno. Precio: USD 425109."
24,Departamento,96808,47,65,3,1,2,2001,28,Calle 6140,Recoleta,Buenos Aires,Oeste,Lateral,False,True,88,True,Muy Bueno,"Departamento de 3 ambientes, 1 dormitorios y 2 baños. Ubicado en Recoleta, Buenos Aires. Cuenta con balcón: False, cochera: True. Estado: Muy Bueno. Precio: USD 96808."
25,Departamento,296640,84,84,3,1,1,2007,24,Calle 6362,Caballito,Buenos Aires,Noreste,Lateral,True,True,141,False,Muy Bueno,"Departamento de 3 ambientes, 1 dormitorios y 1 baños. Ubicado en Caballito, Buenos Aires. Cuenta con balcón: True, cochera: True. Estado: Muy Bueno. Precio: USD 296640."
26,Departamento,295444,161,161,5,4,1,2016,9,Calle 9681,Recoleta,Buenos Aires,Sur,Frente,False,False,161,False,Muy Bueno,"Departamento de 5 ambientes, 4 dormitorios y 1 baños. Ubicado en Recoleta, Buenos Aires. Cuenta con balcón: False, cochera: False. Estado: Muy Bueno. Precio: USD 295444."
27,Departamento,424967,128,130,3,2,2,1993,9,Calle 2005,Nuñez,Buenos Aires,Noreste,Frente,True,False,323,True,Excelente,"Departamento de 3 ambientes, 2 dormitorios y 2 baños. Ubicado en Nuñez, Buenos Aires. Cuenta con balcón: True, cochera: False. Estado: Excelente. Precio: USD 424967."
28,Departamento,382461,140,144,6,4,2,2002,20,Calle 9050,Palermo,Buenos Aires,Sur,Frente,False,True,348,True,Excelente,"Departamento de 6 ambientes, 4 dormitorios y 2 baños. Ubicado en Palermo, Buenos Aires. Cuenta con balcón: False, cochera: True. Estado: Excelente. Precio: USD 382461."
29,Departamento,172639,114,128,4,3,2,2022,13,Calle 6659,Puerto Madero,Buenos Aires,Norte,Lateral,True,False,81,True,Excelente,"Departamento de 4 ambientes, 3 dormitorios y 2 baños. Ubicado en Puerto Madero, Buenos Aires. Cuenta con balcón: True, cochera: False. Estado: Excelente. Precio: USD 172639."
30,Departamento,225798,73,90,4,3,2,2017,30,Calle 908,Recoleta,Buenos Aires,Sudoeste,Contrafrente,True,False,357,False,Bueno,"Departamento de 4 ambientes, 3 dormitorios y 2 baños. Ubicado en Recoleta, Buenos Aires. Cuenta con balcón: True, cochera: False. Estado: Bueno. Precio: USD 225798."
31,Departamento,338874,48,48,5,4,2,1994,30,Calle 504,Flores,Buenos Aires,Sudeste,Frente,True,False,360,True,Excelente,"Departamento de 5 ambientes, 4 dormitorios y 2 baños. Ubicado en Flores, Buenos Aires. Cuenta con balcón: True, cochera: False. Estado: Excelente. Precio: USD 338874."
32,Departamento,341503,100,107,5,4,2,2003,29,Calle 2985,Flores,Buenos Aires,Noroeste,Frente,False,False,68,False,Excelente,"Departamento de 5 ambientes, 4 dormitorios y 2 baños. Ubicado en Flores, Buenos Aires. Cuenta con balcón: False, cochera: False. Estado: Excelente. Precio: USD 341503."
33,Departamento,127189,102,107,3,1,2,1994,11,Calle 4565,Nuñez,Buenos Aires,Oeste,Frente,False,True,395,False,Muy Bueno,"Departamento de 3 ambientes, 1 dormitorios y 2 baños. Ubicado en Nuñez, Buenos Aires. Cuenta con balcón: False, cochera: True. Estado: Muy Bueno. Precio: USD 127189."
34,Departamento,261640,68,90,3,1,1,2020,30,Calle 8669,Recoleta,Buenos Aires,Sur,Lateral,True,False,355,True,Bueno,"Departamento de 3 ambientes, 1 dormitorios y 1 baños. Ubicado en Recoleta, Buenos Aires. Cuenta con balcón: True, cochera: False. Estado: Bueno. Precio: USD 261640."
35,Departamento,373015,126,128,4,2,3,2000,18,Calle 488,Belgrano,Buenos Aires,Sudeste,Contrafrente,True,True,388,True,Muy Bueno,"Departamento de 4 ambientes, 2 dormitorios y 3 baños. Ubicado en Belgrano, Buenos Aires. Cuenta con balcón: True, cochera: True. Estado: Muy Bueno. Precio: USD 373015."
36,Departamento,428574,130,134,2,1,2,2015,1,Calle 2719,San Telmo,Buenos Aires,Noroeste,Contrafrente,True,True,200,False,Muy Bueno,"Departamento de 2 ambientes, 1 dormitorios y 2 baños. Ubicado en San Telmo, Buenos Aires. Cuenta con balcón: True, cochera: True. Estado: Muy Bueno. Precio: USD 428574."
37,Departamento,81522,133,161,5,3,1,2024,4,Calle 8061,Caballito,Buenos Aires,Sudeste,Frente,False,False,266,False,Bueno,"Departamento de 5 ambientes, 3 dormitorios y 1 baños. Ubicado en Caballito, Buenos Aires. Cuenta con balcón: False, cochera: False. Estado: Bueno. Precio: USD 81522."
38,Departamento,114136,40,57,6,4,1,2000,29,Calle 3624,Puerto Madero,Buenos Aires,Sudeste,Frente,True,True,179,False,Muy Bueno,"Departamento de 6 ambientes, 4 dormitorios y 1 baños. Ubicado en Puerto Madero, Buenos Aires. Cuenta con balcón: True, cochera: True. Estado: Muy Bueno. Precio: USD 114136."
39,Departamento,389666,137,137,4,3,1,2020,15,Calle 8848,Belgrano,Buenos Aires,Sudeste,Contrafrente,True,False,122,True,Bueno,"Departamento de 4 ambientes, 3 dormitorios y 1 baños. Ubicado en Belgrano, Buenos Aires. Cuenta con balcón: True, cochera: False. Estado: Bueno. Precio: USD 389666."
40,Departamento,237559,69,76,2,1,1,2013,16,Calle 6171,Belgrano,Buenos Aires,Noreste,Lateral,False,True,53,False,Excelente,"Departamento de 2 ambientes, 1 dormitorios y 1 baños. Ubicado en Belgrano, Buenos Aires. Cuenta con balcón: False, cochera: True. Estado: Excelente. Precio: USD 237559."
41,Departamento,367966,91,94,3,1,2,2011,11,Calle 7460,Caballito,Buenos Aires,Noroeste,Lateral,True,False,291,True,Excelente,"Departamento de 3 ambientes, 1 dormitorios y 2 baños. Ubicado en Caballito, Buenos Aires. Cuenta con balcón: True, cochera: False. Estado: Excelente. Precio: USD 367966."
42,Departamento,173241,75,87,6,4,1,2016,7,Calle 4340,Belgrano,Buenos Aires,Sur,Contrafrente,True,False,165,False,Muy Bueno,"Departamento de 6 ambientes, 4 dormitorios y 1 baños. Ubicado en Belgrano, Buenos Aires. Cuenta con balcón: True, cochera: False. Estado: Muy Bueno. Precio: USD 173241."
43,Departamento,396100,75,85,5,3,3,1991,27,Calle 9762,Palermo,Buenos Aires,Noroeste,Frente,False,False,379,True,Muy Bueno,"Departamento de 5 ambientes, 3 dormitorios y 3 baños. Ubicado en Palermo, Buenos Aires. Cuenta con balcón: False, cochera: False. Estado: Muy Bueno. Precio: USD 396100."
44,Departamento,405342,36,43,5,3,3,2002,10,Calle 4664,San Telmo,Buenos Aires,Este,Lateral,False,False,258,False,Excelente,"Departamento de 5 ambientes, 3 dormitorios y 3 baños. Ubicado en San Telmo, Buenos Aires. Cuenta con balcón: False, cochera: False. Estado: Excelente. Precio: USD 405342."
45,Departamento,176444,78,87,4,2,1,1999,13,Calle 4671,Palermo,Buenos Aires,Noroeste,Lateral,True,True,170,True,Bueno,"Departamento de 4 ambientes, 2 dormitorios y 1 baños. Ubicado en Palermo, Buenos Aires. Cuenta con balcón: True, cochera: True. Estado: Bueno. Precio: USD 176444."
46,Departamento,314218,178,179,2,1,3,1995,3,Calle 7484,Puerto Madero,Buenos Aires,Oeste,Lateral,False,False,368,True,Excelente,"Departamento de 2 ambientes, 1 dormitorios y 3 baños. Ubicado en Puerto Madero, Buenos Aires. Cuenta con balcón: False, cochera: False. Estado: Excelente. Precio: USD 314218."
47,Departamento,242470,55,70,2,1,3,2001,15,Calle 2808,Flores,Buenos Aires,Sudeste,Frente,True,False,106,True,Bueno,"Departamento de 2 ambientes, 1 dormitorios y 3 baños. Ubicado en Flores, Buenos Aires. Cuenta con balcón: True, cochera: False. Estado: Bueno. Precio: USD 242470."
48,Departamento,191514,105,111,3,1,1,2024,2,Calle 8818,Puerto Madero,Buenos Aires,Este,Contrafrente,False,True,85,False,Excelente,"Departamento de 3 ambientes, 1 dormitorios y 1 baños. Ubicado en Puerto Madero, Buenos Aires. Cuenta con balcón: False, cochera: True. Estado: Excelente. Precio: USD 191514."
49,Departamento,418557,130,131,3,2,1,2014,27,Calle 1607,Puerto Madero,Buenos Aires,Oeste,Lateral,False,False,328,False,Muy Bueno,"Departamento de 3 ambientes, 2 dormitorios y 1 baños. Ubicado en Puerto Madero, Buenos Aires. Cuenta con balcón: False, cochera: False. Estado: Muy Bueno. Precio: USD 418557."
50,Departamento,231695,98,115,4,2,3,2007,29,Calle 4672,Caballito,Buenos Aires,Sudeste,Lateral,True,True,118,False,Bueno,"Departamento de 4 ambientes, 2 dormitorios y 3 baños. Ubicado en Caballito, Buenos Aires. Cuenta con balcón: True, cochera: True. Estado: Bueno. Precio: USD 231695."
51,Departamento,164878,46,55,5,4,1,2007,24,Calle 5241,Nuñez,Buenos Aires,Noreste,Lateral,False,True,337,True,Muy Bueno,"Departamento de 5 ambientes, 4 dormitorios y 1 baños. Ubicado en Nuñez, Buenos Aires. Cuenta con balcón: False, cochera: True. Estado: Muy Bueno. Precio: USD 164878."
52,Departamento,328477,142,145,6,4,3,2021,15,Calle 5046,Caballito,Buenos Aires,Noreste,Lateral,True,False,302,True,Bueno,"Departamento de 6 ambientes, 4 dormitorios y 3 baños. Ubicado en Caballito, Buenos Aires. Cuenta con balcón: True, cochera: False. Estado: Bueno. Precio: USD 328477."
53,Departamento,410957,85,110,2,1,1,1995,30,Calle 2409,San Telmo,Buenos Aires,Sur,Frente,False,False,66,True,Bueno,"Departamento de 2 ambientes, 1 dormitorios y 1 baños. Ubicado en San Telmo, Buenos Aires. Cuenta con balcón: False, cochera: False. Estado: Bueno. Precio: USD 410957."
54,Departamento,73438,61,85,4,3,1,2021,25,Calle 5430,Belgrano,Buenos Aires,Sur,Lateral,True,True,173,False,Excelente,"Departamento de 4 ambientes, 3 dormitorios y 1 baños. Ubicado en Belgrano, Buenos Aires. Cuenta con balcón: True, cochera: True. Estado: Excelente. Precio: USD 73438."
55,Departamento,149638,86,115,2,1,1,2017,22,Calle 9652,Caballito,Buenos Aires,Noreste,Lateral,False,False,86,True,Excelente,"Departamento de 2 ambientes, 1 dormitorios y 1 baños. Ubicado en Caballito, Buenos Aires. Cuenta con balcón: False, cochera: False. Estado: Excelente. Precio: USD 149638."
56,Departamento,84223,130,143,3,1,1,2000,1,Calle 8200,Belgrano,Buenos Aires,Norte,Frente,False,False,98,False,Bueno,"Departamento de 3 ambientes, 1 dormitorios y 1 baños. Ubicado en Belgrano, Buenos Aires. Cuenta con balcón: False, cochera: False. Estado: Bueno. Precio: USD 84223."
57,Departamento,318772,76,97,4,2,3,2003,10,Calle 8953,San Telmo,Buenos Aires,Sur,Contrafrente,True,False,58,True,Bueno,"Departamento de 4 ambientes, 2 dormitorios y 3 baños. Ubicado en San Telmo, Buenos Aires. Cuenta con balcón: True, cochera: False. Estado: Bueno. Precio: USD 318772."
58,Departamento,338588,133,159,5,3,3,1991,22,Calle 4672,Puerto Madero,Buenos Aires,Este,Lateral,True,False,307,True,Bueno,"Departamento de 5 ambientes, 3 dormitorios y 3 baños. Ubicado en Puerto Madero, Buenos Aires. Cuenta con balcón: True, cochera: False. Estado: Bueno. Precio: USD 338588."
59,Departamento,263656,89,89,3,1,1,2016,1,Calle 6365,Flores,Buenos Aires,Noroeste,Contrafrente,True,True,125,True,Muy Bueno,"Departamento de 3 ambientes, 1 dormitorios y 1 baños. Ubicado en Flores, Buenos Aires. Cuenta con balcón: True, cochera: True. Estado: Muy Bueno. Precio: USD 263656."
60,Departamento,192758,175,195,5,3,2,2002,12,Calle 6231,Flores,Buenos Aires,Sur,Frente,False,True,158,False,Muy Bueno,"Departamento de 5 ambientes, 3 dormitorios y 2 baños. Ubicado en Flores, Buenos Aires. Cuenta con balcón: False, cochera: True. Estado: Muy Bueno. Precio: USD 192758."
61,Departamento,142095,56,78,3,1,1,1990,18,Calle 2500,Puerto Madero,Buenos Aires,Oeste,Frente,True,False,339,False,Muy Bueno,"Departamento de 3 ambientes, 1 dormitorios y 1 baños. Ubicado en Puerto Madero, Buenos Aires. Cuenta con balcón: True, cochera: False. Estado: Muy Bueno. Precio: USD 142095."
62,Departamento,221104,102,122,5,4,2,2014,25,Calle 479,Villa Urquiza,Buenos Aires,Noreste,Frente,True,False,160,True,Excelente,"Departamento de 5 ambientes, 4 dormitorios y 2 baños. Ubicado en Villa Urquiza, Buenos Aires. Cuenta con balcón: True, cochera: False. Estado: Excelente. Precio: USD 221104."
63,Departamento,313099,169,180,2,1,3,1990,4,Calle 2280,Flores,Buenos Aires,Sur,Frente,True,True,84,False,Bueno,"Departamento de 2 ambientes, 1 dormitorios y 3 baños. Ubicado en Flores, Buenos Aires. Cuenta con balcón: True, cochera: True. Estado: Bueno. Precio: USD 313099."
64,Departamento,389076,154,178,4,3,2,1992,17,Calle 1183,Flores,Buenos Aires,Norte,Lateral,False,False,241,False,Excelente,"Departamento de 4 ambientes, 3 dormitorios y 2 baños. Ubicado en Flores, Buenos Aires. Cuenta con balcón: False, cochera: False. Estado: Excelente. Precio: USD 389076."
65,Departamento,414462,80,83,4,2,3,2016,2,Calle 8817,Puerto Madero,Buenos Aires,Este,Contrafrente,False,True,121,False,Muy Bueno,"Departamento de 4 ambientes, 2 dormitorios y 3 baños. Ubicado en Puerto Madero, Buenos Aires. Cuenta con balcón: False, cochera: True. Estado: Muy Bueno. Precio: USD 414462."
66,Departamento,387465,79,85,4,3,1,2005,29,Calle 6798,San Telmo,Buenos Aires,Sudeste,Contrafrente,False,True,225,False,Muy Bueno,"Departamento de 4 ambientes, 3 dormitorios y 1 baños. Ubicado en San Telmo, Buenos Aires. Cuenta con balcón: False, cochera: True. Estado: Muy Bueno. Precio: USD 387465."
67,Departamento,332212,156,182,2,1,2,1994,12,Calle 3066,Caballito,Buenos Aires,Sudoeste,Frente,False,False,84,False,Excelente,"Departamento de 2 ambientes, 1 dormitorios y 2 baños. Ubicado en Caballito, Buenos Aires. Cuenta con balcón: False, cochera: False. Estado: Excelente. Precio: USD 332212."
68,Departamento,315946,105,120,3,1,2,2013,16,Calle 6077,Villa Urquiza,Buenos Aires,Oeste,Contrafrente,False,True,331,False,Excelente,"Departamento de 3 ambientes, 1 dormitorios y 2 baños. Ubicado en Villa Urquiza, Buenos Aires. Cuenta con balcón: False, cochera: True. Estado: Excelente. Precio: USD 315946."
69,Departamento,74071,45,50,6,4,2,2014,30,Calle 798,Nuñez,Buenos Aires,Noreste,Contrafrente,False,False,236,False,Bueno,"Departamento de 6 ambientes, 4 dormitorios y 2 baños. Ubicado en Nuñez, Buenos Aires. Cuenta con balcón: False, cochera: False. Estado: Bueno. Precio: USD 74071."
70,Departamento,160423,110,117,3,1,2,1995,29,Calle 7014,Belgrano,Buenos Aires,Noroeste,Lateral,True,True,373,True,Muy Bueno,"Departamento de 3 ambientes, 1 dormitorios y 2 baños. Ubicado en Belgrano, Buenos Aires. Cuenta con balcón: True, cochera: True. Estado: Muy Bueno. Precio: USD 160423."
71,Departamento,289361,65,74,4,2,3,1997,20,Calle 7643,Palermo,Buenos Aires,Sudoeste,Contrafrente,True,True,397,True,Excelente,"Departamento de 4 ambientes, 2 dormitorios y 3 baños. Ubicado en Palermo, Buenos Aires. Cuenta con balcón: True, cochera: True. Estado: Excelente. Precio: USD 289361."
72,Departamento,259312,140,143,4,2,2,1998,1,Calle 6320,Belgrano,Buenos Aires,Sudeste,Lateral,False,False,185,False,Bueno,"Departamento de 4 ambientes, 2 dormitorios y 2 baños. Ubicado en Belgrano, Buenos Aires. Cuenta con balcón: False, cochera: False. Estado: Bueno. Precio: USD 259312."
73,Departamento,142653,70,99,4,2,2,1995,14,Calle 8901,Recoleta,Buenos Aires,Noroeste,Frente,False,False,361,False,Bueno,"Departamento de 4 ambientes, 2 dormitorios y 2 baños. Ubicado en Recoleta, Buenos Aires. Cuenta con balcón: False, cochera: False. Estado: Bueno. Precio: USD 142653."
74,Departamento,99056,170,183,3,2,3,2007,23,Calle 116,Puerto Madero,Buenos Aires,Norte,Lateral,False,True,395,False,Excelente,"Departamento de 3 ambientes, 2 dormitorios y 3 baños. Ubicado en Puerto Madero, Buenos Aires. Cuenta con balcón: False, cochera: True. Estado: Excelente. Precio: USD 99056."
75,Departamento,142546,36,60,3,1,1,2013,3,Calle 8648,Puerto Madero,Buenos Aires,Sudoeste,Frente,True,True,260,True,Muy Bueno,"Departamento de 3 ambientes, 1 dormitorios y 1 baños. Ubicado en Puerto Madero, Buenos Aires. Cuenta con balcón: True, cochera: True. Estado: Muy Bueno. Precio: USD 142546."
76,Departamento,290778,137,144,3,1,2,1991,28,Calle 3466,Recoleta,Buenos Aires,Noroeste,Lateral,True,False,213,True,Excelente,"Departamento de 3 ambientes, 1 dormitorios y 2 baños. Ubicado en Recoleta, Buenos Aires. Cuenta con balcón: True, cochera: False. Estado: Excelente. Precio: USD 290778."
77,Departamento,284381,168,186,3,2,1,2004,13,Calle 1896,San Telmo,Buenos Aires,Sur,Lateral,True,False,178,True,Excelente,"Departamento de 3 ambientes, 2 dormitorios y 1 baños. Ubicado en San Telmo, Buenos Aires. Cuenta con balcón: True, cochera: False. Estado: Excelente. Precio: USD 284381."
78,Departamento,375820,135,138,2,1,1,2014,1,Calle 7072,Caballito,Buenos Aires,Este,Frente,False,False,231,False,Bueno,"Departamento de 2 ambientes, 1 dormitorios y 1 baños. Ubicado en Caballito, Buenos Aires. Cuenta con balcón: False, cochera: False. Estado: Bueno. Precio: USD 375820."
79,Departamento,166959,163,182,5,4,3,2006,23,Calle 6105,Almagro,Buenos Aires,Sudoeste,Lateral,False,True,314,False,Muy Bueno,"Departamento de 5 ambientes, 4 dormitorios y 3 baños. Ubicado en Almagro, Buenos Aires. Cuenta con balcón: False, cochera: True. Estado: Muy Bueno. Precio: USD 166959."
80,Departamento,241609,86,111,3,1,1,1991,12,Calle 8179,Puerto Madero,Buenos Aires,Noroeste,Frente,True,True,66,True,Excelente,"Departamento de 3 ambientes, 1 dormitorios y 1 baños. Ubicado en Puerto Madero, Buenos Aires. Cuenta con balcón: True, cochera: True. Estado: Excelente. Precio: USD 241609."
81,Departamento,344149,102,114,4,2,1,2022,9,Calle 4475,Caballito,Buenos Aires,Sur,Lateral,False,True,149,False,Bueno,"Departamento de 4 ambientes, 2 dormitorios y 1 baños. Ubicado en Caballito, Buenos Aires. Cuenta con balcón: False, cochera: True. Estado: Bueno. Precio: USD 344149."
82,Departamento,313829,174,193,4,3,1,1995,2,Calle 9042,Caballito,Buenos Aires,Norte,Frente,True,True,293,False,Muy Bueno,"Departamento de 4 ambientes, 3 dormitorios y 1 baños. Ubicado en Caballito, Buenos Aires. Cuenta con balcón: True, cochera: True. Estado: Muy Bueno. Precio: USD 313829."
83,Departamento,316553,65,95,5,3,2,2013,5,Calle 8512,Caballito,Buenos Aires,Sur,Contrafrente,True,False,281,True,Muy Bueno,"Departamento de 5 ambientes, 3 dormitorios y 2 baños. Ubicado en Caballito, Buenos Aires. Cuenta con balcón: True, cochera: False. Estado: Muy Bueno. Precio: USD 316553."
84,Departamento,433700,136,139,4,2,1,1999,5,Calle 3878,Caballito,Buenos Aires,Noreste,Lateral,False,False,287,False,Muy Bueno,"Departamento de 4 ambientes, 2 dormitorios y 1 baños. Ubicado en Caballito, Buenos Aires. Cuenta con balcón: False, cochera: False. Estado: Muy Bueno. Precio: USD 433700."
85,Departamento,206482,154,173,4,3,2,1991,17,Calle 7348,Puerto Madero,Buenos Aires,Norte,Contrafrente,True,True,296,False,Excelente,"Departamento de 4 ambientes, 3 dormitorios y 2 baños. Ubicado en Puerto Madero, Buenos Aires. Cuenta con balcón: True, cochera: True. Estado: Excelente. Precio: USD 206482."
86,Departamento,80217,36,63,2,1,3,2014,28,Calle 9718,San Telmo,Buenos Aires,Sudoeste,Contrafrente,False,False,218,True,Muy Bueno,"Departamento de 2 ambientes, 1 dormitorios y 3 baños. Ubicado en San Telmo, Buenos Aires. Cuenta con balcón: False, cochera: False. Estado: Muy Bueno. Precio: USD 80217."
87,Departamento,318762,64,75,3,2,1,2009,18,Calle 8335,Villa Urquiza,Buenos Aires,Sudeste,Lateral,True,True,336,True,Muy Bueno,"Departamento de 3 ambientes, 2 dormitorios y 1 baños. Ubicado en Villa Urquiza, Buenos Aires. Cuenta con balcón: True, cochera: True. Estado: Muy Bueno. Precio: USD 318762."
